System Time,RDTSC,Elapsed Time (sec),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package Power Limit_0(Watt),GT Frequency(MHz)
09:53:07:601, 235680551032966,    1.053,  800,   6.155,   6.478,   1.800,   2.407,   2.533,   0.704, 56,  0,   0.473,   0.498,   0.138,  25.000, 1100
09:53:07:757, 235680977001284,    1.217, 2300,  16.495,   9.187,   2.552,   4.952,   3.346,   0.930, 60,  0,   7.659,   1.756,   0.488,  25.000, 1100
09:53:07:961, 235681493781834,    1.416, 2300,  20.867,  13.344,   3.707,   5.747,   4.491,   1.248, 61,  0,  11.217,   3.991,   1.109,  25.000, 1100
09:53:08:164, 235682012587014,    1.616, 3000,  20.983,  17.541,   4.872,   5.376,   5.566,   1.546, 63,  0,  11.555,   6.302,   1.750,  25.000, 1100
09:53:08:367, 235682532911649,    1.817, 2500,  20.928,  21.739,   6.039,   6.366,   6.843,   1.901, 63,  0,  10.498,   8.407,   2.335,  25.000, 1100
09:53:08:554, 235683052644460,    2.017, 2500,  21.895,  26.126,   7.257,   6.297,   8.105,   2.251, 64,  0,  11.540,  10.719,   2.978,  25.000, 1100
09:53:08:757, 235683569738420,    2.216, 2500,  21.532,  30.418,   8.449,   6.574,   9.415,   2.615, 65,  0,  10.834,  12.879,   3.578,  25.000, 1100
09:53:08:961, 235684088744067,    2.416, 2500,  20.992,  34.618,   9.616,   5.508,  10.517,   2.922, 65,  0,  11.408,  15.162,   4.212,  25.000, 1100
09:53:09:164, 235684606281194,    2.616, 2500,  21.320,  38.872,  10.798,   5.950,  11.704,   3.251, 65,  0,  11.266,  17.409,   4.836,  25.000, 1100
09:53:09:367, 235685127354558,    2.817, 2500,  21.430,  43.176,  11.993,   5.646,  12.839,   3.566, 66,  0,  11.686,  19.757,   5.488,  25.000, 1100
09:53:09:554, 235685646947316,    3.017, 2500,  21.325,  47.448,  13.180,   6.054,  14.051,   3.903, 66,  0,  11.155,  21.991,   6.109,  25.000, 1100
09:53:09:757, 235686164450654,    3.217, 2600,  21.538,  51.745,  14.374,   5.986,  15.246,   4.235, 67,  0,  11.485,  24.283,   6.745,  25.000, 1050
09:53:09:961, 235686685867574,    3.418, 2500,  21.067,  55.980,  15.550,   6.913,  16.635,   4.621, 66,  0,  10.014,  26.295,   7.304,  25.000, 1100
09:53:10:164, 235687203026762,    3.617, 3100,  21.756,  60.317,  16.755,   6.918,  18.014,   5.004, 67,  0,  10.668,  28.422,   7.895,  25.000, 1100
09:53:10:367, 235687721873900,    3.817, 2500,  21.847,  64.687,  17.969,   7.174,  19.449,   5.403, 68,  0,  10.511,  30.525,   8.479,  25.000, 1100
09:53:10:570, 235688245589070,    4.019, 2800,  21.624,  69.053,  19.181,   6.883,  20.839,   5.789, 67,  0,  10.564,  32.657,   9.072,  25.000, 1100
09:53:10:758, 235688759881558,    4.217, 3100,  21.790,  73.373,  20.381,   6.984,  22.224,   6.173, 67,  0,  10.636,  34.766,   9.657,  25.000, 1100
09:53:10:961, 235689276084934,    4.416, 2500,  21.715,  77.694,  21.582,   7.451,  23.706,   6.585, 67,  0,  10.059,  36.768,  10.213,  25.000, 1100
09:53:11:164, 235689794067420,    4.616, 2500,  21.645,  82.016,  22.782,   6.850,  25.074,   6.965, 68,  0,  10.584,  38.881,  10.800,  25.000, 1100
09:53:11:367, 235690315447620,    4.817, 2500,  21.475,  86.333,  23.981,   6.943,  26.470,   7.353, 68,  0,  10.360,  40.964,  11.379,  25.000, 1100
09:53:11:554, 235690831660810,    5.016, 2500,  21.875,  90.686,  25.190,   6.792,  27.821,   7.728, 69,  0,  10.898,  43.132,  11.981,  25.000, 1100
09:53:11:758, 235691350794490,    5.216, 2500,  21.794,  95.047,  26.402,   6.794,  29.181,   8.106, 69,  0,  10.833,  45.300,  12.583,  25.000, 1100
09:53:11:961, 235691871725232,    5.417, 2500,  21.373,  99.340,  27.594,   7.254,  30.638,   8.511, 69,  0,   9.875,  47.283,  13.134,  25.000, 1100
09:53:12:164, 235692389417596,    5.616, 2500,  21.774, 103.685,  28.801,   6.890,  32.013,   8.892, 69,  0,  10.758,  49.430,  13.731,  25.000, 1100
09:53:12:367, 235692907333550,    5.816, 2500,  21.888, 108.055,  30.015,   6.886,  33.388,   9.274, 69,  0,  10.847,  51.596,  14.332,  25.000, 1100
09:53:12:554, 235693427675538,    6.017, 2500,  21.345, 112.337,  31.205,   6.805,  34.753,   9.654, 69,  0,  10.360,  53.674,  14.909,  25.000, 1100
09:53:12:758, 235693945425608,    6.216, 2500,  21.816, 116.691,  32.414,   7.110,  36.172,  10.048, 69,  0,  10.612,  55.792,  15.498,  25.000, 1100
09:53:12:961, 235694465138783,    6.417, 2500,  21.653, 121.030,  33.619,   7.208,  37.616,  10.449, 70,  0,  10.215,  57.839,  16.066,  25.000, 1100
09:53:13:164, 235694982861055,    6.616, 2500,  21.706, 125.362,  34.823,   6.863,  38.986,  10.829, 69,  0,  10.672,  59.969,  16.658,  25.000, 1100
09:53:13:367, 235695502756220,    6.817, 2500,  21.585, 129.688,  36.024,   6.931,  40.375,  11.215, 70,  0,  10.476,  62.068,  17.241,  25.000, 1100
09:53:13:554, 235696020245051,    7.016, 2500,  21.948, 134.066,  37.241,   6.907,  41.753,  11.598, 70,  0,  10.877,  64.238,  17.844,  25.000, 1100
